Sheet Name: AI_Model_Registry

model_id: a417fe1f-d2f3-4f5c-a87b-c37ba769653f | model_name: document-intelligence | model_version: v1.6.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/457c928958ba | deployment_status: Testing
model_id: 57dae394-4642-44cf-8714-a0baba798d25 | model_name: document-intelligence | model_version: v1.4.7 | model_type: Anomaly | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/anomaly/097afab26a82 | deployment_status: Testing
model_id: e361075c-c27c-47c1-be4e-2c071fe1ed16 | model_name: document-intelligence | model_version: v1.1.6 | model_type: NLP | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/nlp/b84408a406c5 | deployment_status: Production
model_id: 724ada86-2d6b-4a5e-819c-8a38086a3e8c | model_name: anomaly-detector | model_version: v1.8.9 | model_type: Regressor | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/regressor/85eb6cb46661 | deployment_status: Production
model_id: 41c0dd96-e83b-44d7-b768-ad573f4cb733 | model_name: delay-risk-classifier | model_version: v2.8.1 | model_type: Anomaly | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/anomaly/166fba5ac205 | deployment_status: Production
model_id: b7f336e8-5515-46f4-a8a4-c457dc2ae38d | model_name: delay-risk-classifier | model_version: v4.4.0 | model_type: Regressor | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/regressor/e60989fe94f2 | deployment_status: Draft
model_id: 1f7840cd-3263-48e8-af9d-8956201b5be7 | model_name: risk-summary-llm | model_version: v1.1.9 | model_type: NLP | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/nlp/6b2186822aee | deployment_status: Production
model_id: 5599a849-ac56-4bfa-832b-6c4e76d7ee95 | model_name: anomaly-detector | model_version: v4.9.4 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/9e42659ff785 | deployment_status: Production
model_id: e0de678c-b200-47fa-bb3c-0bb5dedf04ec | model_name: eta-regressor | model_version: v1.6.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/c4682a5ea38d | deployment_status: Testing
model_id: b289b7cc-45fc-4374-95d3-75bce5eb5257 | model_name: eta-regressor | model_version: v3.7.0 | model_type: NLP | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/nlp/2e34d08786e8 | deployment_status: Production
model_id: 112d8252-1bf9-43f2-87d0-af382e273e06 | model_name: document-intelligence | model_version: v1.8.4 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/dbc9308db1be | deployment_status: Draft
model_id: 8da37463-1317-4fc2-be82-63e670a5030a | model_name: anomaly-detector | model_version: v1.2.8 | model_type: Regressor | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/regressor/f845c9e67a69 | deployment_status: Draft
model_id: d2f8b96a-fdab-4e1f-a7e3-4876fb913055 | model_name: delay-risk-classifier | model_version: v2.3.1 | model_type: LLM | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/llm/c035afb7f5a2 | deployment_status: Testing
model_id: 54b02cf4-66ba-4b59-960a-96ec18c8ff92 | model_name: risk-summary-llm | model_version: v4.2.4 | model_type: Anomaly | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/anomaly/9e492365f053 | deployment_status: Retired
model_id: 3c612eb6-2beb-487d-9ba8-73877a67ca38 | model_name: document-intelligence | model_version: v3.3.1 | model_type: NLP | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/nlp/1e206692eff0 | deployment_status: Testing
model_id: 45f36f40-b304-4fef-969d-da25999d77db | model_name: document-intelligence | model_version: v3.3.6 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/11aec26e1fe0 | deployment_status: Retired
model_id: d70b050b-1096-4101-aa04-b42ba5201272 | model_name: eta-regressor | model_version: v3.3.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/classifier/149d2107927a | deployment_status: Draft
model_id: 6510cc97-6f1f-4081-a368-c5ef2a07054d | model_name: document-intelligence | model_version: v3.2.4 | model_type: NLP | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/nlp/ddcb6fc11f79 | deployment_status: Testing
model_id: 0a8a598f-2879-4904-b92d-f804dcb17f9a | model_name: delay-risk-classifier | model_version: v3.3.2 | model_type: NLP | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/nlp/a831e70d3397 | deployment_status: Production
model_id: 9b80078f-fa28-41b3-969e-76f0a9672de6 | model_name: eta-regressor | model_version: v2.1.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/regressor/e636aa509a60 | deployment_status: Draft
model_id: f35aae6a-e064-48b7-89aa-b3d29135222e | model_name: anomaly-detector | model_version: v3.4.7 | model_type: Regressor | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/regressor/1501841163ff | deployment_status: Production
model_id: 2288ce1a-779c-45d1-9260-969ad7dfa59a | model_name: delay-risk-classifier | model_version: v3.5.3 | model_type: Regressor | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/regressor/1a13168b5a40 | deployment_status: Testing
model_id: 06060338-0a1f-4f14-bc44-fff1ece7ec69 | model_name: risk-summary-llm | model_version: v3.5.1 | model_type: Anomaly | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/anomaly/1c759ba00255 | deployment_status: Retired
model_id: c6057f5b-e61a-4e7f-a50d-ace6b3a0cbe4 | model_name: delay-risk-classifier | model_version: v4.9.5 | model_type: Regressor | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/regressor/c024a40c3945 | deployment_status: Retired
model_id: 0991141e-b444-456a-a1bc-a568f0d1e026 | model_name: risk-summary-llm | model_version: v2.1.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/eae69a330ac3 | deployment_status: Production
model_id: 7dc23c29-0ef7-4f85-9ca8-ebc66676abb7 | model_name: delay-risk-classifier | model_version: v1.0.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/classifier/b86549745318 | deployment_status: Testing
model_id: b052db68-2db5-475f-a26c-21ed8275da47 | model_name: anomaly-detector | model_version: v4.3.9 | model_type: Anomaly | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/anomaly/082777e27ec9 | deployment_status: Production
model_id: 2e1fa46d-154d-4f4f-b230-f19f9ffbbec2 | model_name: eta-regressor | model_version: v4.7.7 | model_type: Classifier | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/classifier/17fa3998ed33 | deployment_status: Draft
model_id: 8153b0b1-b6eb-442b-b5e7-bec6684934f4 | model_name: document-intelligence | model_version: v3.6.2 | model_type: LLM | training_dataset_version: exim-ds-2025-07 | artifact_uri: s3://allcargo-exim-models/llm/9a6d058e2b58 | deployment_status: Production
model_id: 9c679011-a31f-439a-a553-0c1021a1df21 | model_name: risk-summary-llm | model_version: v3.6.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/0250ba599760 | deployment_status: Retired
model_id: a82c6e3d-d7ce-4f0d-92a8-48d40ca88dfa | model_name: eta-regressor | model_version: v4.8.0 | model_type: LLM | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/llm/c04075fc2c2b | deployment_status: Retired
model_id: aaa0adbd-f3cb-4b72-93a2-7940254c3cea | model_name: risk-summary-llm | model_version: v1.1.3 | model_type: LLM | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/llm/4cde93047540 | deployment_status: Draft
model_id: dcef9f79-0820-4006-b2d2-4964359f51f3 | model_name: risk-summary-llm | model_version: v3.5.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/classifier/3e15b1b89896 | deployment_status: Draft
model_id: e175cd8c-7fff-4ac6-b73a-7f1aea5c8acd | model_name: eta-regressor | model_version: v4.2.6 | model_type: Regressor | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/regressor/fc92f68ef048 | deployment_status: Testing
model_id: 87731ad4-ac94-4f8a-a09d-cf6a45a1ad90 | model_name: eta-regressor | model_version: v1.6.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/532fa234a41f | deployment_status: Draft
model_id: 82110369-334c-4600-81e1-e3ad7069940a | model_name: delay-risk-classifier | model_version: v3.4.6 | model_type: NLP | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/nlp/9b0c168304e8 | deployment_status: Testing
model_id: 9fd49a07-d765-4446-a625-6ea7e7411387 | model_name: risk-summary-llm | model_version: v4.7.9 | model_type: Anomaly | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/anomaly/fb20edcd9edb | deployment_status: Testing
model_id: 548cbd7f-a00a-4504-879c-501eff3a43cd | model_name: document-intelligence | model_version: v2.6.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/classifier/54d3c9f614a2 | deployment_status: Testing
model_id: 32481c80-9b52-4610-a1da-35ff2036e7bf | model_name: risk-summary-llm | model_version: v1.7.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/1ae26beede31 | deployment_status: Testing
model_id: dc61a5fb-34a2-4813-b3b3-85a13cee3e19 | model_name: eta-regressor | model_version: v1.9.0 | model_type: LLM | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/llm/550ce006e792 | deployment_status: Production
model_id: 3a4ff263-e89f-493b-945f-2827f2f908c8 | model_name: delay-risk-classifier | model_version: v1.8.9 | model_type: LLM | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/llm/daede23ece0f | deployment_status: Production
model_id: 946cdbf8-5613-4f2e-85fa-990d60fa8ad6 | model_name: delay-risk-classifier | model_version: v1.2.7 | model_type: NLP | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/nlp/f4ea1ac8acc8 | deployment_status: Testing
model_id: 486ee5cc-358b-4584-ad0d-c91f116655db | model_name: risk-summary-llm | model_version: v2.1.4 | model_type: Anomaly | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/anomaly/16cf0810ced5 | deployment_status: Draft
model_id: de17018f-7b14-48ef-9423-a505785adf7f | model_name: risk-summary-llm | model_version: v2.1.8 | model_type: Regressor | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/regressor/bbc6789ab449 | deployment_status: Testing
model_id: 1199ded0-4f1b-41fc-9003-57530a45348e | model_name: delay-risk-classifier | model_version: v4.5.9 | model_type: Anomaly | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/anomaly/2facae7e0324 | deployment_status: Production
model_id: 73a36fd0-5171-4eb1-b718-02ddb8aabda1 | model_name: document-intelligence | model_version: v2.2.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/c44b9c928857 | deployment_status: Draft
model_id: 9df63c6a-1c5c-4a93-b4c7-8fbb9efb5e31 | model_name: delay-risk-classifier | model_version: v4.1.6 | model_type: Anomaly | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/anomaly/c3657a03fc12 | deployment_status: Production
model_id: c373cc11-a545-4c66-99e0-d849dc2e08e1 | model_name: eta-regressor | model_version: v1.0.4 | model_type: Anomaly | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/anomaly/5e8a0b73c06e | deployment_status: Production
model_id: 84259ab9-8935-41d4-a8f0-0c81c8b3e97d | model_name: delay-risk-classifier | model_version: v4.5.0 | model_type: Anomaly | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/anomaly/b423ffb22675 | deployment_status: Draft
model_id: 9ef26877-a914-4221-978a-a3f56f400f7f | model_name: eta-regressor | model_version: v2.9.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/classifier/c0e56084e152 | deployment_status: Production
model_id: 930d34c7-c251-4042-a22f-217ea52eb05b | model_name: document-intelligence | model_version: v3.1.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/classifier/e22d6a9640f7 | deployment_status: Draft
model_id: ef2b882d-94e9-458e-8df3-fe553dd668a0 | model_name: document-intelligence | model_version: v4.7.0 | model_type: Anomaly | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/anomaly/b3a149f74bf0 | deployment_status: Production
model_id: d547c4c7-0c08-4f60-a950-eff3340211c8 | model_name: document-intelligence | model_version: v4.1.7 | model_type: Anomaly | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/anomaly/a333505d0009 | deployment_status: Draft
model_id: a7c8e86e-8591-4fab-8d4a-d2e422efa2d4 | model_name: risk-summary-llm | model_version: v1.9.4 | model_type: NLP | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/nlp/168e2a265dc2 | deployment_status: Draft
model_id: bf884b90-d8da-48bc-903c-ab20393520c3 | model_name: anomaly-detector | model_version: v1.0.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/classifier/3f21465d8c62 | deployment_status: Testing
model_id: 6f0a92db-321b-48a7-bccf-98bdf7063620 | model_name: risk-summary-llm | model_version: v2.4.6 | model_type: LLM | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/llm/df31e739fad0 | deployment_status: Testing
model_id: a7c2ca5e-70a5-48f6-9a6d-ab5b27aafb2f | model_name: eta-regressor | model_version: v2.6.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/3db6540beb1c | deployment_status: Retired
model_id: 77cd8a62-b2b0-4088-8d0b-ee28e35a8a50 | model_name: document-intelligence | model_version: v4.3.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/classifier/433e74700679 | deployment_status: Production
model_id: 3b3d2795-c555-4f65-a4fe-d71475777ecc | model_name: eta-regressor | model_version: v2.9.2 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/598e6cf4fd60 | deployment_status: Production
model_id: b6539c6b-2800-473e-8e46-e07a68dad84d | model_name: delay-risk-classifier | model_version: v3.7.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/88dfff52a163 | deployment_status: Production
model_id: 35839043-f572-458d-8560-398412fcad56 | model_name: document-intelligence | model_version: v2.7.6 | model_type: LLM | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/llm/0dbf1f8e5928 | deployment_status: Retired
model_id: cc5233a9-ce2a-47e3-ba3c-e65af4c7e79d | model_name: delay-risk-classifier | model_version: v1.7.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/classifier/382ffc3063ef | deployment_status: Production
model_id: b178cc33-80ea-484c-982f-f6e599929dd0 | model_name: risk-summary-llm | model_version: v2.1.9 | model_type: Anomaly | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/anomaly/9abb75fdbdc9 | deployment_status: Testing
model_id: b81c93e7-063a-4b2d-89d3-ed911dc6e2d1 | model_name: document-intelligence | model_version: v2.0.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/fb8705e436f6 | deployment_status: Testing
model_id: a13e36c3-2f21-4597-8d59-6588659b8884 | model_name: risk-summary-llm | model_version: v3.2.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/aca851743b9b | deployment_status: Production
model_id: 5a4c63fb-e13a-49f9-aa49-c76e0811471c | model_name: document-intelligence | model_version: v2.7.5 | model_type: Classifier | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/classifier/519f0d2dc891 | deployment_status: Production
model_id: 86ac0994-76d1-4b1c-8eac-402c3d95b81b | model_name: eta-regressor | model_version: v2.6.7 | model_type: Regressor | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/regressor/0529049dc319 | deployment_status: Production
model_id: b9411d1a-2aa6-490a-9c39-00154efc8a1c | model_name: document-intelligence | model_version: v3.1.5 | model_type: LLM | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/llm/48d72d5484db | deployment_status: Testing
model_id: 1254ad7b-7182-4d98-925e-d36b19bb0fa8 | model_name: document-intelligence | model_version: v2.5.0 | model_type: LLM | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/llm/133e5236253d | deployment_status: Testing
model_id: f4796a46-4a6e-4b5a-940e-ee2bc621fc62 | model_name: eta-regressor | model_version: v3.8.9 | model_type: NLP | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/nlp/975aea7f698f | deployment_status: Production
model_id: 55e56b4b-21b6-419f-926b-95c041a3134b | model_name: risk-summary-llm | model_version: v4.7.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/classifier/340dab607706 | deployment_status: Testing
model_id: 5e8f6c3a-9ac5-443f-9ec1-35d2edf01f8a | model_name: eta-regressor | model_version: v2.7.4 | model_type: Classifier | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/classifier/549919cc6269 | deployment_status: Production
model_id: 5389151c-b11a-414d-b344-02466951c4ac | model_name: eta-regressor | model_version: v3.1.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/classifier/af74cbd383cb | deployment_status: Production
model_id: 88b24d77-fded-4c02-a1ff-5d24a54e18cf | model_name: eta-regressor | model_version: v2.6.1 | model_type: NLP | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/nlp/fb4707e3e874 | deployment_status: Draft
model_id: 7ad1a715-c1b3-4aee-a48a-692f4758fc00 | model_name: document-intelligence | model_version: v2.7.7 | model_type: LLM | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/llm/9dadddf09b20 | deployment_status: Testing
model_id: fcd29690-f7ce-4d41-a71d-3ab83f423c25 | model_name: anomaly-detector | model_version: v2.0.7 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/2a62610dda54 | deployment_status: Testing
model_id: 693fc0dc-0a8f-4898-8994-6251763738a7 | model_name: risk-summary-llm | model_version: v1.9.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/782e4974c717 | deployment_status: Draft
model_id: acc078f2-adbf-497b-a255-4132009a44ae | model_name: eta-regressor | model_version: v4.7.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/classifier/834a30415632 | deployment_status: Draft
model_id: 4b5dc587-c3b2-4cb3-93d4-018e681777e5 | model_name: anomaly-detector | model_version: v4.1.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/bc5987c4338b | deployment_status: Retired
model_id: d70b4f08-3991-46fb-b4cb-3270e1d76757 | model_name: risk-summary-llm | model_version: v3.2.5 | model_type: Regressor | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/regressor/8118e9c0db97 | deployment_status: Draft
model_id: 288ba99b-0037-4630-a366-fffbe9315557 | model_name: delay-risk-classifier | model_version: v2.6.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/classifier/16cbe31e48e3 | deployment_status: Draft
model_id: 22c430e7-d89c-45ec-8969-b064aeffefbd | model_name: anomaly-detector | model_version: v1.8.0 | model_type: Classifier | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/classifier/00619480342a | deployment_status: Production
model_id: 17771056-3186-4a3e-b765-9c189c3a104b | model_name: delay-risk-classifier | model_version: v4.3.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/c1136048ddde | deployment_status: Testing
model_id: 83ced133-fae8-478a-a52e-6a52bccc9def | model_name: risk-summary-llm | model_version: v3.0.8 | model_type: NLP | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/nlp/eb9521163e9c | deployment_status: Draft
model_id: 3d25f47b-fed0-46ac-9c8d-2922ba65ab47 | model_name: document-intelligence | model_version: v2.1.6 | model_type: Regressor | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/regressor/964c1f5f4ca3 | deployment_status: Testing
model_id: e417324b-9d5a-4633-905d-2c96810b6188 | model_name: document-intelligence | model_version: v2.4.4 | model_type: Regressor | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/regressor/ff52a8910cd8 | deployment_status: Production
model_id: c175d860-feac-4489-b8f0-cc44b1746ef1 | model_name: delay-risk-classifier | model_version: v4.9.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/classifier/aea928a09581 | deployment_status: Retired
model_id: 61e0c7a3-0e91-4206-932e-7e8b17f9288b | model_name: delay-risk-classifier | model_version: v1.4.1 | model_type: Regressor | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/regressor/c8d1b95fb6e7 | deployment_status: Production
model_id: a8d0870b-cad8-4653-b87e-1c1e5aecf737 | model_name: risk-summary-llm | model_version: v3.7.5 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/9e657209f6a7 | deployment_status: Retired
model_id: c6f4269d-a001-42a7-b810-9156b29e740e | model_name: document-intelligence | model_version: v2.3.0 | model_type: Anomaly | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/anomaly/c587dd57a446 | deployment_status: Production
model_id: 7d5c8d27-f2ec-4f33-ad21-81e2af0a8f11 | model_name: delay-risk-classifier | model_version: v2.1.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/14be9df17391 | deployment_status: Retired
model_id: a1f20df4-a9fb-4506-9b8e-1504116da175 | model_name: risk-summary-llm | model_version: v1.8.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/classifier/03f04cf621a8 | deployment_status: Testing
model_id: 529efd13-5142-43c4-8a4c-e7bd8d078ad8 | model_name: risk-summary-llm | model_version: v2.4.0 | model_type: Anomaly | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/anomaly/7a7eb43b5960 | deployment_status: Testing
model_id: 0bbbf48d-3752-4ee5-88a8-934f60d2a641 | model_name: risk-summary-llm | model_version: v1.8.0 | model_type: Anomaly | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/anomaly/daee3a623c81 | deployment_status: Production
model_id: b3530a57-443a-4283-8e30-396b543b3c2d | model_name: delay-risk-classifier | model_version: v3.6.8 | model_type: NLP | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/nlp/87ad4ad173be | deployment_status: Production
model_id: c747eb0e-279b-4ded-9df0-1b537ce6b86f | model_name: risk-summary-llm | model_version: v1.7.6 | model_type: Anomaly | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/anomaly/03df552fed18 | deployment_status: Production
model_id: 6d106651-be0f-4bd0-8c06-cf2bf709f220 | model_name: anomaly-detector | model_version: v2.9.1 | model_type: Anomaly | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/anomaly/c56e022c2420 | deployment_status: Production
model_id: 88f0dfc7-c177-47cc-8abd-ad61969f94f8 | model_name: delay-risk-classifier | model_version: v3.3.2 | model_type: NLP | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/nlp/85d862b4f89f | deployment_status: Production
model_id: ed0c7fbd-ee77-44f9-ad9b-95f37260c6c2 | model_name: anomaly-detector | model_version: v3.8.4 | model_type: Anomaly | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/anomaly/45b7112977cf | deployment_status: Production
model_id: f4f0d80c-9ca6-4170-a482-de00d94db66d | model_name: eta-regressor | model_version: v3.9.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/classifier/98e29d2f46b1 | deployment_status: Production
model_id: 296b1feb-291a-4886-9b27-d36837ce7e58 | model_name: document-intelligence | model_version: v4.9.8 | model_type: Regressor | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/regressor/c2c562d9c134 | deployment_status: Retired
model_id: ed09cb0f-e37e-463c-a114-2eaf35e39501 | model_name: delay-risk-classifier | model_version: v1.3.3 | model_type: Anomaly | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/anomaly/d5df3dac73f1 | deployment_status: Production
model_id: a901a237-7143-4719-88cb-275364874123 | model_name: anomaly-detector | model_version: v4.7.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/classifier/be3dfadff6e4 | deployment_status: Retired
model_id: 40f9ff1b-c96e-4cfd-82bc-1dfb3f7fe72c | model_name: eta-regressor | model_version: v1.1.2 | model_type: Anomaly | training_dataset_version: exim-ds-2024-10 | artifact_uri: s3://allcargo-exim-models/anomaly/adff19c76a42 | deployment_status: Production
model_id: 49cac3a4-1bc4-4c1d-97bb-7e266dc5fe84 | model_name: eta-regressor | model_version: v2.6.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/a215bb9424d1 | deployment_status: Production
model_id: 507a600f-c83a-454e-8018-0abd3aec1b89 | model_name: document-intelligence | model_version: v4.1.5 | model_type: Regressor | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/regressor/2e75abd136cc | deployment_status: Production
model_id: 013783a8-a786-4078-a244-ef68e64a4d66 | model_name: document-intelligence | model_version: v4.2.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/classifier/75ef10922ef7 | deployment_status: Production
model_id: 7acb83d5-1909-4ec8-a641-07d66273ea0d | model_name: risk-summary-llm | model_version: v2.2.2 | model_type: Regressor | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/regressor/da004974f983 | deployment_status: Production
